      	   E (m) 	  N (m)	 H (m)
Tile 01	-038.26	 140.36	 000.66
Tile 02	-102.30	 156.08	 001.24
Tile 03	-095.92	 124.66	 001.08
Tile 04	-077.86	 097.43	 000.81
Tile 05	-125.40	 100.62	 001.01
Tile 06	-116.81	 065.18	 000.78
Tile 07	-160.53	 054.72	 000.72
Tile 08	-120.68	 016.33	 000.54
Tile 09	-105.43	-021.91	 000.08
Tile 10	-137.81	-088.99	-000.18
Tile 11	-106.99	-117.34	-000.21
Tile 12	-081.73	-111.03	-000.14
Tile 13	-087.14	-134.24	-000.31
Tile 14	-063.15	-111.76	-000.07
Tile 15	-038.71	-090.85	 000.14
Tile 16	-024.09	-112.88	 000.12
Tile 17	-002.85	-149.73	 000.22
Tile 18	 022.68	-093.58	 000.14
Tile 19	 059.38	-085.44	-000.10
Tile 20	 122.75	-077.33	-000.48
Tile 21	 142.91	-083.04	-000.48
Tile 22	 132.38	-033.43	-000.91
Tile 23	 176.26	 016.87	-001.50
Tile 24	 170.64	 020.26	-001.49
Tile 25	 177.05	 023.43	-001.55
Tile 26	 107.31	 033.03	-000.98
Tile 27	 121.05	 041.47	-001.11
Tile 28	 089.57	 061.27	-000.75
Tile 29	 121.73	 103.56	-000.91
Tile 30	 045.22	 086.43	-000.28
Tile 31	 032.64	 126.03	 000.00
Tile 32	 004.22	 172.95	 000.35
