  begintime  | atim_temp | asc1_temp1 | asc2_temp1 |                   adfb1_temps                    |                    adfb2_temps                    | compressor | evaporator | outside | inside | condensor 
-------------+-----------+------------+------------+--------------------------------------------------+---------------------------------------------------+------------+------------+---------+--------+-----------
 987487907.3 |      26.5 |         36 |         29 | {29.3,0.24,27.16,26.37,22.71,24.78,22.52,22.16}  | {33.02,33.39,26.67,24.17,22.28,21.97,21.55,20.45} |      47.12 |      20.45 |   33.94 |  22.52 |     41.99
 987487891.3 |        26 |         36 |       29.5 | {29.85,0.24,28.32,27.71,23.25,25.33,23.25,23.32} | {33.69,34.12,27.83,25.7,23.13,22.77,22.22,22.22}  |      45.84 |      22.28 |   33.87 |  22.83 |     39.61
 987487875.3 |        26 |         36 |       29.5 | {29.91,0.24,28.75,28.26,23.44,25.45,23.44,23.62} | {33.87,34.36,28.32,26.37,23.5,23.07,22.46,23.19}  |      45.35 |      23.38 |   33.87 |  22.83 |     35.83
 987487859.3 |        26 |         36 |       29.5 | {29.66,0.24,28.44,28.02,23.19,25.21,23.13,23.38} | {33.63,34.06,28.02,26.12,23.25,22.83,22.16,22.95} |      45.65 |      23.13 |   33.87 |  22.58 |     36.19
 987487843.3 |        26 |         36 |       29.5 | {29.42,0.24,28.2,27.71,22.95,24.9,22.83,23.13}   | {33.39,33.81,27.77,25.82,23.01,22.52,21.85,22.64} |       45.9 |      22.95 |   33.94 |  22.34 |     36.62
 987487827.3 |        26 |         36 |         29 | {29.17,0.24,27.89,27.47,22.77,24.66,22.52,22.83} | {33.08,33.51,27.4,25.57,22.77,22.28,21.55,22.4}   |      46.26 |      22.64 |   33.94 |  22.09 |     37.11
 987487811.3 |        26 |         36 |         29 | {28.93,0.24,27.59,27.16,22.52,24.35,22.22,22.46} | {32.84,33.26,27.1,25.27,22.52,22.03,21.18,22.09}  |      46.63 |       22.4 |      34 |  21.91 |      37.6
 987487795.3 |      25.5 |         36 |         29 | {28.63,0.24,27.28,26.86,22.34,24.11,21.91,22.09} | {32.59,32.96,26.79,24.9,22.28,21.73,20.81,21.73}  |      47.06 |      22.16 |   34.12 |  21.61 |     38.27
 987487779.3 |        26 |       35.5 |         29 | {28.32,0.24,26.92,26.49,22.09,23.8,21.55,21.67}  | {32.29,32.65,26.43,24.6,22.03,21.48,20.45,21.42}  |      47.55 |      21.85 |    34.3 |  21.36 |     38.94
 987487763.3 |      25.5 |       35.5 |         29 | {28.08,0.24,26.49,26.06,21.85,23.5,21.18,21.18}  | {31.98,32.29,26,24.17,21.79,21.18,20.08,21}       |      48.16 |      21.48 |   34.36 |  21.12 |     39.73
 987487747.3 |      25.5 |       35.5 |         29 | {27.71,0.24,26.06,25.51,21.61,23.13,20.81,20.63} | {31.68,31.92,25.51,23.62,21.48,20.81,19.71,20.45} |      48.89 |         21 |   34.48 |  20.87 |     40.89
 987487731.3 |      25.5 |       35.5 |       28.5 | {27.34,0.24,25.45,24.9,21.36,22.83,20.39,19.9}   | {31.31,31.56,25.02,23.01,21.12,20.45,19.29,19.78} |      49.68 |      20.39 |   34.48 |  20.57 |     42.48
 987487715.3 |      25.5 |       35.5 |       28.5 | {26.98,0.24,24.78,24.17,21.06,22.46,19.96,19.1}  | {30.94,31.19,24.41,22.28,20.69,20.08,18.86,18.98} |      50.54 |      19.59 |   34.55 |  20.39 |     44.19
 987487699.3 |      25.5 |         35 |       28.5 | {26.61,0.24,24.11,23.32,20.75,22.09,19.59,18.31} | {30.52,30.76,23.68,21.42,20.26,19.59,18.49,17.94} |      51.51 |      18.55 |   34.61 |   20.2 |     45.96
 987487683.3 |      25.5 |         35 |         28 | {26.37,0.24,23.44,22.46,20.51,21.91,19.29,17.7}  | {30.21,30.46,23.07,20.51,19.78,19.23,18.25,16.78} |      52.19 |      17.27 |   34.61 |  20.14 |     47.61
 987487667.3 |        26 |         35 |         28 | {26.61,0.24,23.44,22.34,20.57,22.09,19.53,17.82} | {30.33,30.52,23.07,20.39,19.71,19.23,18.37,16.48} |         52 |      16.78 |   34.55 |  20.39 |     47.85
 987487651.3 |        26 |         35 |       28.5 | {26.98,0.24,23.93,22.83,20.94,22.52,19.96,18.43} | {30.7,30.88,23.5,20.75,20.02,19.59,18.86,16.85}   |      51.45 |      17.15 |   34.42 |  20.75 |     47.42
 987487635.3 |        26 |       35.5 |       28.5 | {27.47,0.24,24.54,23.44,21.3,22.95,20.51,19.1}   | {31.13,31.37,23.99,21.36,20.45,19.96,19.41,17.46} |      50.84 |       17.7 |   34.36 |  21.18 |        47
 987487619.3 |        26 |       35.5 |       28.5 | {27.89,0.24,25.21,24.17,21.67,23.44,21.06,19.9}  | {31.56,31.86,24.66,21.91,20.87,20.51,20.02,18.19} |      50.05 |      18.37 |   34.24 |  21.55 |      46.2
 987487603.3 |        26 |       35.5 |         29 | {28.44,0.24,25.88,24.9,21.97,23.86,21.55,20.75}  | {32.04,32.41,25.39,22.77,21.3,21,20.57,18.98}     |      49.01 |      19.04 |   34.06 |  21.91 |     44.68
(20 rows)

