k_centers	power	
    0.0016157000	       786959.14	
    0.0026928300	       1182354.5	
    0.0044880600	       1656084.3	
    0.0074800900	       2083755.6	
     0.012466800	       2193384.9	
     0.020778000	       1735386.5	
     0.034630100	       1133739.6	
     0.057716800	       629617.59	
     0.096194600	       292065.27	
      0.16032400	       116742.46	
      0.26720700	       41873.349	
      0.44534600	       13880.672	
      0.74224300	       4328.2267	
       1.2370700	       1283.6520	
       2.0617800	       365.12765	
       3.4363100	       100.30643	
       5.7271800	       26.772648	
       9.5453000	       6.9768698	
       15.908800	       1.7822690	
       26.514700	      0.44772754	
       44.191200	      0.11089154	
       73.652000	     0.027134391	
       122.75300	    0.0065705091	
       204.58900	    0.0015765620	
       340.98200	   0.00037527385	
       568.30300	   8.8697134e-05	
       947.17100	   2.0831930e-05	
       1578.6200	   4.8650600e-06	
       2631.0300	   1.1304009e-06	
